Year,AWS,Microsoft,Google,Meta,Total,IsEstimate,Source
2015,4.6,5.3,9.9,2.7,22.5,False,"10-K filings"
2016,6.7,8.3,10.9,4.5,30.4,False,"10-K filings"
2017,11.4,11.4,13.9,6.7,43.4,False,"10-K filings"
2018,13.7,12.0,25.1,13.9,64.7,False,"10-K filings"
2019,16.8,13.9,23.5,15.1,69.3,False,"10-K filings"
2020,40.1,15.4,22.3,15.7,93.5,False,"10-K filings, pandemic DC buildout"
2021,61.1,24.5,24.6,19.2,129.4,False,"10-K filings — peak hyperscale growth"
2022,64.7,26.0,31.5,30.7,152.9,False,"10-K filings"
2023,48.4,32.6,32.3,28.1,141.4,False,"Company annual reports"
2024,48.0,38.0,48.0,32.0,166.0,True,"Analyst consensus, Bloomberg/Ycharts"
2025,52.0,40.0,55.0,35.0,182.0,True,"Forward analyst estimates (Q1/Q2 guidance)"
